Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
1,1,7,0,32,0,1,2,48000,0,0,90,1,3,1,1,6,8,9,1,1,1,0,80000,5,0,3,1,0,1,0,70000,0,1,85,85,70,80,90,90,90,85,95,32000,2,1,2,3,1 ,2,3
1,1,7,1,61,0,1,2,50000,1,2,90,1,1,1,2,5,5,5,1,1,0,0,100000,2,0,1,1,0,1,1,60000,1,1,60,60,60,60,60,60,60,60,60,40000,1,0,2,3,0 ,2,3
1,1,7,0,49,0,1,1,60000,0,0,54,1,2,1,2,4,3,3,1,1,0,0,40000,3,0,1,0,0,2,-1,100000,0,0,70,70,50,70,50,50,80,60,70,40000,2,0,0,3,0 ,0,0
0,1,7,0,64,0,1,1,0,0,0,48,0,2,1,2,1,1,1,1,1,0,0,50000,2,-1,1,0,0,1,0,40000,1,1,60,90,50,50,80,100,80,80,60,0,1,0,0,4,0 ,0,1
1,0,7,1,53,0,0,1,30000,0,0,15,0,1,1,2,3,5,3,1,1,1,1,60000,2,0,1,0,0,1,0,40000,1,1,70,50,60,70,60,70,70,70,70,30000,1,0,0,1,0 ,0,1
1,1,7,0,29,1,1,2,200000,1,0,18,1,1,1,2,6,8,5,0,0,0,0,220000,3,0,0,0,0,1,1,180000,0,0,75,60,0,60,70,50,70,60,60,50000,2,0,0,4,0 ,0,4
1,1,7,0,58,0,1,1,0,0,0,71,1,1,1,1,5,6,2,1,1,0,0,31200,2,1,1,0,0,1,0,40000,0,1,100,90,100,100,100,100,100,100,100,19200,1,0,0,1,0 ,0,3
0,1,7,1,30,0,1,2,40000,1,2,54,1,3,1,2,5,7,5,1,1,0,0,300000,3,0,1,1,0,1,-1,60000,0,0,70,70,70,80,75,75,80,80,80,260000,2,0,0,1,0 ,0,1
0,1,7,0,72,0,1,1,28000,1,0,54,0,0,0,1,1,1,1,1,1,0,0,250000,4,-1,1,0,0,1,-1,50000,0,0,60,30,20,20,30,60,60,70,50,0,2,0,0,1,0 ,0,1
0,1,7,0,45,0,0,1,30000,0,0,10,1,1,1,2,4,6,5,1,1,0,0,35000,2,-2,0,0,0,1,-1,50000,1,1,90,80,80,80,70,80,80,60,60,5000,1,0,0,1,0 ,0,1
0,1,7,1,37,0,1,2,0,0,0,128,1,2,1,2,10,8,4,1,1,0,0,200000,6,0,5,1,0,1,1,1000000,1,0,70,60,50,75,70,75,70,70,60,200000,1,0,0,3,0 ,2,3
0,1,7,1,61,0,1,1,40000,0,0,88,1,2,1,1,1,1,1,1,1,0,0,140000,3,-1,1,0,0,1,-1,100000,0,0,40,80,50,60,60,50,40,60,80,0,1,0,0,0,0 ,0,3
1,1,7,1,33,0,1,3,60000,1,2,93,1,1,1,1,5,5,5,1,1,0,0,120000,4,0,1,1,0,1,0,10000,1,1,50,60,50,70,80,50,50,70,70,60000,2,0,2,3,0 ,0,3
0,1,7,1,63,0,1,1,0,0,0,60,0,1,1,2,5,7,1,0,1,0,0,120000,5,-1,1,1,0,1,0,100000,1,1,80,80,60,80,70,70,70,80,80,10000,1,0,0,1,0 ,0,1
0,1,7,1,38,0,1,2,100000,0,0,30,1,3,1,2,6,7,5,1,1,1,0,200000,4,0,1,1,0,1,0,100000,1,1,60,40,0,60,60,60,60,60,60,100000,2,0,0,3,0 ,0,1
1,1,7,0,43,0,1,2,170000,0,0,110,1,2,1,1,5,6,5,1,1,0,0,200000,3,0,1,1,0,1,0,1000000,1,1,60,50,50,80,50,50,50,50,80,0,2,0,2,3,0 ,2,3
0,1,7,0,30,0,1,1,36000,0,0,10,1,2,0,2,1,5,1,1,0,0,0,80000,1,-2,1,0,0,1,-1,72000,1,1,60,60,50,60,60,50,70,60,60,36000,1,0,0,1,0 ,0,1
1,1,7,0,55,0,1,2,48000,0,0,70,1,3,1,2,6,6,4,1,1,0,0,84000,2,0,1,1,0,1,0,100000,1,0,80,88,65,85,65,70,60,80,85,36000,1,0,0,1,0 ,0,1
0,1,7,1,38,0,1,2,40000,0,0,40,1,1,1,2,3,5,3,1,1,1,1,120000,3,-1,1,0,0,1,-1,70000,1,1,80,60,60,80,70,70,60,70,70,80000,2,0,0,1,0 ,0,1
1,1,7,1,51,0,1,1,50000,0,0,64,1,2,1,2,4,5,6,1,1,0,0,140000,3,-1,1,0,0,2,0,100000,1,1,80,50,40,50,70,70,60,70,70,50000,1,0,0,3,0 ,0,1
1,1,7,1,38,0,1,2,80000,1,0,60,0,1,1,2,6,10,4,1,1,0,0,300000,3,1,1,1,0,2,1,150000,1,0,90,80,60,70,75,80,70,80,80,200000,3,0,0,3,0 ,2,3
1,1,7,0,61,0,1,2,0,0,0,69,1,1,1,2,6,5,5,1,0,0,0,50000,2,1,1,0,0,1,0,10,1,1,80,70,70,70,60,70,70,80,70,0,2,0,0,1,0 ,0,1
0,1,7,0,57,0,1,1,50000,1,2,87,1,0,1,2,3,3,8,1,0,0,0,60000,2,-1,2,1,0,1,-1,60000,1,1,80,85,80,80,80,80,80,80,80,4000,1,0,0,3,0 ,0,0
1,1,7,1,30,0,1,2,200000,1,2,90,1,2,1,2,7,7,4,1,1,1,1,400000,4,1,1,1,0,1,0,300000,0,0,60,70,50,60,60,60,70,70,30,200000,2,0,0,2,0 ,0,4
1,1,7,0,69,0,1,2,30000,1,2,153,1,2,1,2,8,8,1,0,0,0,0,200000,2,1,1,0,0,1,1,70000,0,0,40,40,60,50,60,60,40,60,60,0,2,1,0,3,0 ,0,0
0,1,7,1,78,1,1,1,0,1,2,54,1,4,1,3,7,7,5,1,1,0,0,100000,2,1,1,0,0,1,0,60000,0,1,70,80,70,70,80,80,60,60,80,0,2,0,0,5,0 ,0,0
1,1,7,0,70,0,1,1,45000,1,2,90,1,0,1,2,5,6,1,1,1,0,0,60000,2,0,1,0,0,1,0,6000,1,1,95,90,95,90,90,95,90,90,90,20000,1,0,0,1,0 ,0,1
0,1,7,0,28,0,1,1,5000,0,0,10,1,0,1,2,4,7,2,0,1,0,0,5000,1,-2,2,0,0,1,0,100000,1,1,100,100,100,100,50,100,100,50,100,5000,2,0,0,4,0 ,0,4
1,1,7,1,72,0,1,1,36000,1,0,100,1,2,1,2,5,6,1,1,1,0,0,84000,2,1,1,0,0,1,0,60000,1,1,80,90,90,80,90,90,85,90,90,48000,1,0,0,0,0 ,0,1
1,0,7,1,49,0,1,1,20000,0,0,170,1,1,1,1,5,6,2,1,1,0,0,60000,3,-1,1,1,0,1,-1,60000,1,0,50,80,20,60,40,40,40,50,45,40000,1,0,0,1,0 ,0,1
1,1,7,0,61,0,1,1,42000,0,0,45,1,1,1,3,3,7,3,1,0,0,0,66000,1,0,1,0,0,1,0,200000,0,0,80,60,60,70,80,70,65,70,90,24000,1,0,0,3,0 ,0,0
1,1,7,1,33,0,1,2,0,0,0,72,1,2,1,3,8,8,6,0,0,1,0,280000,3,1,1,0,0,1,0,500000,0,0,50,70,50,30,70,20,50,50,50,280000,2,0,0,3,0 ,0,1
0,1,7,0,65,0,1,1,74400,1,2,52.6,1,2,1,2,4,5,5,1,1,0,0,200000,5,0,1,1,0,1,-1,150000,1,0,70,50,30,0,60,80,85,80,80,36000,1,0,2,3,0 ,0,0
1,1,7,1,42,0,1,2,80000,1,2,59,1,1,1,2,6,7,3,1,1,0,0,110000,3,0,2,0,0,1,0,120000,1,1,60,60,60,60,70,70,70,80,80,30000,1,0,2,3,0 ,2,3
0,1,7,1,56,0,1,1,0,0,0,56,1,3,1,2,1,1,1,1,1,0,0,120000,2,-1,1,0,0,1,-1,50000,0,1,90,40,60,60,50,60,60,70,70,90000,2,0,0,3,0 ,0,0
1,1,7,0,48,0,1,1,50000,0,0,48,0,3,1,2,5,4,4,1,1,1,0,120000,3,-1,1,1,0,1,0,360000,1,1,70,80,70,80,90,90,80,80,90,70000,1,0,0,3,0 ,2,3
1,1,7,1,24,0,1,1,0,0,1,98,1,2,1,2,7,8,5,1,0,0,0,60000,3,-1,1,0,0,1,0,45000,0,1,80,80,80,80,70,80,85,70,70,60000,1,0,0,1,0 ,0,1
0,1,7,0,34,0,1,1,50000,0,0,17,1,3,1,2,6,8,3,1,1,1,0,70000,4,0,1,0,0,1,0,20000,0,0,0,60,60,60,70,40,60,70,80,20000,1,0,0,1,0 ,0,1
1,1,7,0,28,0,1,2,50000,0,0,57.4,1,1,1,1,4,7,5,1,1,0,0,230000,2,1,1,1,0,1,-1,100000,0,0,80,80,60,75,60,70,40,80,80,170000,2,0,0,3,0 ,0,0
1,1,7,1,32,0,1,1,100000,0,0,58,1,3,1,1,3,5,5,1,1,1,0,200000,3,0,2,1,0,0,0,1000000,1,1,50,50,50,50,50,50,50,50,50,100000,2,0,0,4,0 ,0,4
0,1,7,0,33,0,1,2,50000,1,2,33,1,3,1,2,5,7,4,1,1,0,0,80000,3,0,0,1,0,1,0,100000,0,0,90,75,65,80,90,75,85,85,75,30000,2,0,0,1,0 ,0,1
1,1,7,0,33,1,0,2,250000,1,2,74,0,2,1,2,5,6,2,1,1,1,0,450000,4,0,1,0,0,1,0,500000,0,0,90,90,30,60,70,60,60,50,60,100000,2,0,0,2,0 ,0,1
1,1,7,0,38,0,1,2,50000,1,0,90,1,2,1,3,1,2,1,1,1,0,0,50000,3,-2,0,1,0,0,-1,200000,1,1,50,45,0,60,0,0,0,70,80,0,2,0,0,3,0 ,0,1
1,1,7,1,28,0,1,2,60000,1,0,80,1,3,1,2,5,6,5,1,1,1,0,350000,3,0,1,1,0,1,0,100000,1,1,70,70,60,60,60,70,60,70,60,110000,2,0,0,3,0 ,0,3
0,1,7,0,59,0,1,1,0,0,0,97,1,2,1,2,6,2,5,0,0,0,0,100000,3,0,2,1,0,0,0,100000,0,0,80,70,50,80,75,80,80,80,85,40000,2,0,0,1,0 ,0,1
0,1,7,0,53,0,1,1,48000,0,0,150,1,0,1,1,4,4,4,1,1,0,0,75000,3,0,1,0,0,1,-1,60000,1,1,90,90,95,85,80,80,80,80,80,30000,2,0,0,3,0 ,0,0
1,0,7,0,57,0,1,1,30000,0,0,20,1,0,1,2,4,4,4,1,1,0,0,50000,1,0,1,0,0,1,0,100000,1,1,80,90,70,50,50,80,90,80,60,0,1,0,0,1,0 ,0,1
1,1,7,1,52,0,1,1,30000,0,0,49,0,1,1,3,1,1,1,1,1,0,0,100000,3,-2,2,0,0,1,-1,60000,0,0,50,70,50,80,70,80,80,80,50,50000,1,0,0,3,0 ,0,3
1,1,7,0,34,0,1,1,80000,0,0,8,1,2,1,2,5,8,2,1,1,0,0,80000,2,0,1,0,0,1,0,100000,1,1,80,70,50,80,80,80,90,80,80,30000,1,0,0,1,0 ,0,1
0,1,7,0,59,0,1,1,0,0,0,40,1,0,1,3,5,6,1,1,0,0,0,100000,4,-1,2,0,0,1,0,40000,1,1,100,100,100,100,100,100,100,100,100,20000,1,0,0,1,0 ,0,1
1,1,7,1,30,0,1,1,0,0,0,74,1,1,0,1,1,5,2,0,0,0,0,30000,2,-1,1,0,0,1,0,80000,1,1,0,10,0,0,0,20,30,50,0,30000,2,0,0,3,0 ,0,0
0,1,7,0,66,0,1,1,48000,0,0,70,1,1,1,2,6,6,6,1,1,1,0,100000,2,-1,1,0,0,1,-1,80000,1,1,80,80,70,70,70,70,70,80,80,50000,1,0,0,1,0 ,0,1
0,1,7,0,66,0,1,1,0,1,2,53,1,3,1,2,5,5,3,1,1,0,0,120000,1,0,1,0,0,1,0,50000,1,1,100,90,95,90,95,90,90,95,95,0,1,0,2,1,0 ,0,1
0,1,7,1,66,1,1,1,36000,0,0,74,0,1,1,1,3,5,2,1,1,0,0,72000,2,0,1,0,0,1,0,36000,0,0,80,80,70,80,90,90,90,80,90,36000,1,0,0,3,0 ,0,0
1,1,7,0,49,0,1,2,80000,1,2,110,1,2,1,2,5,4,2,0,0,0,0,130000,3,0,1,1,0,1,0,20,0,0,70,70,60,70,70,60,65,60,70,30000,1,0,2,3,0 ,0,1
1,1,7,0,35,0,1,2,100000,0,0,76,1,1,1,2,5,6,5,1,1,1,1,300000,2,-1,1,1,0,1,0,250000,1,1,80,80,70,50,80,70,70,80,80,150000,2,0,2,3,0 ,0,3
